feature_id,distance,clock_position,feature_type,orientation,depth_percent,length,width,wall_thickness
New-10,1491.31,12:00,External Metal Loss,OD,11.5,1.0,1.0,0.25
W2-36,1505.526495148132,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-8530,1528.6740269273255,3:30,External Metal Loss,OD,42.25699097063024,1.087028430706369,2.0823897179530753,0.25
W2-37,1545.4549818201574,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
New-12,1568.22,1:00,External Metal Loss,OD,15.3,1.0,1.0,0.25
W2-38,1585.5311028130857,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-39,1625.4700768616324,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-3844,1663.2980297203333,11:45,External Metal Loss,OD,12.938233012349595,2.7174622561509016,1.847884082743494,0.25
W2-40,1665.575785670026,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-41,1705.5750067334188,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-42,1745.462065131472,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-9388,1756.9628747558925,4:30,Dent,OD,25.1,2.91,2.26,0.25
W2-43,1785.471173584234,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
New-13,1808.65,6:00,External Metal Loss,OD,19.0,1.0,1.0,0.25
W2-44,1825.5707094321601,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-1695,1852.470604223134,8:30,Dent,OD,37.7,2.11,1.18,0.25
W2-45,1865.50476375987,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-46,1905.376476389137,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
B-8225,1911.944606392909,12:30,Internal Metal Loss,ID,19.698715174797286,1.999415371771318,2.829442199712572,0.25
W2-47,1945.4680344422118,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
W2-48,1985.5525294299634,12:00,Girth Weld,OD,0.0,0.0,0.0,0.25
